age,gender,country,mascu_sec,working,gnorm_executives,gnorm_nurses,competitiveness,risk_tolerance,depression_score,cgi,male,rand
34,Female,USA,0,1,Strongly agree,Agree,10,10,2.5,7,0,.53458709
59,Male,UK,1,1,Agree,Agree,4,3,2.25,4,1,.96801865
38,Female,USA,0,1,Agree,Agree,8,7,2.25,1,0,.55857056
61,Female,USA,0,1,Strongly agree,Strongly agree,5,7,4.75,3,0,.67001009
60,Male,UK,,0,Strongly agree,Agree,3,2,2.25,9,1,.92367357
19,Female,USA,0,1,Strongly agree,Strongly agree,6,4,3.75,4,0,.90862954
58,Female,UK,,0,Strongly agree,Agree,5,4,2,0,0,.56832993
39,Male,UK,1,1,Agree,Strongly agree,9,9,1.5,7,1,.81558174
63,Male,USA,0,1,Strongly agree,Strongly agree,10,9,1.75,10,1,.6880219
63,Male,UK,,0,Agree,Agree,7,5,2,7,1,.80460507
34,Female,USA,0,1,Strongly agree,Strongly agree,9,3,2.25,2,0,.5212453
59,Female,USA,,0,Strongly agree,Strongly agree,7,1,2,2,0,.96990484
56,Female,USA,0,1,Agree,Agree,5,1,1.5,0,0,.90836734
62,Female,USA,,0,Strongly agree,Strongly agree,0,1,2.75,0,0,.52899289
63,Female,USA,,0,Agree,Agree,0,2,2.75,0,0,.87160724
53,Female,USA,0,1,Agree,Strongly agree,5,1,3.75,1,0,.88144177
29,Female,UK,0,1,Agree,Agree,7,7,2.75,6,0,.86692381
42,Male,USA,1,1,Strongly agree,Agree,10,10,2.5,10,1,.96244186
62,Female,USA,,0,Strongly agree,Strongly agree,0,3,2.75,3,0,.72103029
49,Female,UK,,0,Strongly agree,Agree,10,6,1,3,0,.68789595
61,Female,USA,,0,Strongly agree,Strongly agree,2,2,2.5,2,0,.52571249
49,Female,USA,,0,Strongly agree,Disagree,7,1,5,0,0,.64397395
31,Male,USA,1,1,Agree,Agree,10,10,3.5,10,1,.87025231
58,Female,UK,,0,Agree,Agree,2,1,3.75,7,0,.9358685
62,Female,USA,0,1,Strongly agree,Strongly disagree,5,5,1,2,0,.84687382
25,Male,USA,0,1,Strongly agree,Agree,10,10,3.5,10,1,.86062521
51,Male,USA,0,1,Agree,Agree,10,4,2,9,1,.7377106
62,Male,USA,,0,Agree,Strongly agree,10,7,2.25,10,1,.7433098
62,Female,USA,0,1,Strongly agree,Strongly agree,5,1,1.5,3,0,.51768774
40,Male,USA,0,1,Agree,Agree,6,7,2.5,9,1,.59411222
52,Male,USA,0,1,Strongly agree,Strongly agree,10,10,2,10,1,.76562345
55,Female,USA,0,1,Agree,Strongly agree,4,4,1.75,5,0,.89891577
60,Female,USA,,0,Strongly agree,Strongly agree,10,10,4,0,0,.91093159
48,Female,USA,0,1,Agree,Strongly agree,3,4,1.25,5,0,.96571988
60,Female,USA,0,1,Strongly agree,,6,6,1,0,0,.76892298
49,Female,USA,0,1,Strongly agree,Strongly agree,3,5,1.25,2,0,.82682925
31,Female,USA,,0,Agree,Agree,8,10,4,0,0,.63815641
47,Male,USA,,0,Agree,Agree,7,7,3.75,8,1,.97314978
60,Male,USA,1,1,Strongly agree,Strongly agree,6,5,2.25,8,1,.91971678
57,Male,USA,1,1,Strongly agree,Strongly agree,10,10,1.25,9,1,.63511014
28,Female,UK,0,1,Strongly agree,Agree,9,6,2.5,1,0,.54129612
49,Male,UK,0,1,Strongly agree,Agree,7,8,2,4,1,.60094887
22,Male,UK,0,1,Agree,Agree,10,9,1.25,10,1,.50712204
60,Male,UK,0,1,Agree,Agree,5,4,4,7,1,.66084236
56,Female,UK,0,1,Agree,Agree,7,4,2,0,0,.91175389
47,Male,UK,1,1,Strongly agree,Strongly agree,8,9,2.25,7,1,.55341512
46,Female,USA,0,1,Agree,Disagree,7,6,1,5,0,.73592186
38,Male,UK,0,1,Disagree,Strongly agree,8,7,4.5,7,1,.55151975
30,Male,UK,0,1,Agree,Strongly agree,10,10,2.75,10,1,.96531177
25,Female,USA,0,1,Strongly agree,Agree,9,9,1.5,0,0,.59038562
48,Female,UK,0,1,Strongly agree,Strongly agree,2,4,4.5,3,0,.54300934
27,Male,UK,0,1,Agree,Agree,10,9,2.25,10,1,.73646307
31,Female,UK,1,1,Disagree,Agree,8,6,1.75,2,0,.85642296
59,Female,UK,0,1,Agree,Strongly agree,8,6,2.25,2,0,.99306434
57,Female,UK,1,1,Strongly agree,Strongly agree,5,4,1.5,3,0,.70595443
43,Male,USA,0,1,Strongly disagree,Strongly agree,7,10,4,6,1,.51530039
56,Female,UK,0,1,Strongly agree,Strongly agree,6,4,1.5,3,0,.67941141
42,Male,UK,0,1,Agree,Agree,7,8,1,8,1,.50238103
64,Male,UK,0,1,Agree,Agree,6,2,1,7,1,.61432993
30,Male,UK,0,1,Strongly agree,Strongly agree,5,10,2,10,1,.66896433
63,Female,UK,0,1,Strongly agree,Agree,6,6,4,1,0,.76351249
60,Female,USA,0,1,Strongly agree,Strongly agree,4,6,1.5,3,0,.8459487
62,Male,USA,,0,Strongly agree,Strongly agree,4,4,2.75,5,1,.63116378
59,Male,UK,0,1,Agree,Strongly agree,6,8,2,10,1,.97920895
42,Female,UK,0,1,Strongly agree,Strongly agree,7,4,2.25,5,0,.89441729
43,Female,USA,0,1,Strongly agree,Strongly agree,5,1,4.5,5,0,.97334468
58,Female,UK,,0,Strongly agree,Strongly agree,6,5,4,3,0,.73980314
60,Male,UK,,0,Strongly agree,Strongly agree,5,7,4.75,7,1,.65762818
38,Female,USA,1,1,Agree,Strongly agree,8,7,2,4,0,.75174648
39,Female,UK,,0,Strongly agree,Agree,5,8,1.75,0,0,.53979981
32,Female,UK,0,1,Agree,Agree,5,6,2.25,0,0,.85211349
63,Female,UK,0,1,Strongly disagree,Disagree,2,5,2,1,0,.58207059
51,Female,USA,,0,Strongly agree,Strongly agree,7,5,3.25,3,0,.53143936
39,Male,USA,0,1,Agree,Agree,9,9,1,7,1,.72848552
55,Male,USA,,0,Strongly agree,Agree,7,7,5,10,1,.76825774
26,Male,UK,0,1,Strongly agree,Strongly agree,7,6,4.25,7,1,.76060903
39,Male,USA,,0,Agree,Agree,6,7,2.25,5,1,.56239861
31,Male,UK,1,1,Strongly agree,Strongly agree,8,10,2,8,1,.76306796
58,Male,UK,,0,Strongly agree,Strongly agree,0,1,5,3,1,.66247511
49,Male,UK,0,1,Agree,Agree,3,7,1.25,6,1,.7595377
40,Female,USA,,0,Agree,Agree,7,6,1.25,3,0,.75138444
51,Female,USA,1,1,Strongly agree,Agree,0,1,1.75,0,0,.91603285
53,Male,Argentina,0,1,Strongly agree,Agree,8,6,2,8,1,.58129096
57,Female,Brazil,,0,Strongly agree,Disagree,0,5,4,0,0,.9453308
40,Female,Brazil,0,1,Agree,Agree,5,8,2.5,5,0,.60799444
46,Female,Brazil,0,1,Strongly agree,Strongly agree,10,10,1.75,5,0,.55907536
43,Female,Brazil,,0,Agree,Strongly disagree,10,1,2.25,0,0,.59371001
43,Female,Brazil,,0,Agree,Agree,6,1,2.5,3,0,.64187938
35,Female,Brazil,,0,Disagree,Disagree,0,1,2.75,0,0,.66724533
29,Female,Argentina,1,1,Strongly agree,Disagree,5,4,2,2,0,.54905832
39,Male,Argentina,1,1,Strongly agree,Strongly agree,7,7,1.75,8,1,.72341776
43,Female,Argentina,,0,Strongly disagree,Strongly agree,5,5,2,4,0,.56715757
58,Female,Argentina,,0,Agree,Strongly agree,5,2,2.75,1,0,.72509807
35,Female,Chile,0,1,Strongly agree,Strongly agree,10,10,1.5,0,0,.64617968
57,Female,Argentina,0,1,Strongly agree,Strongly agree,9,9,3,0,0,.56033421
35,Female,Brazil,0,1,Agree,Disagree,7,5,3,7,0,.98737586
26,Female,Argentina,,0,Strongly agree,Strongly agree,5,5,3.25,2,0,.94230115
33,Male,Brazil,,0,Strongly agree,Agree,8,5,2,8,1,.99936503
39,Female,Brazil,0,1,Strongly agree,Strongly agree,5,7,1.75,5,0,.71798474
59,Female,Brazil,0,1,Agree,Strongly agree,7,5,2.5,0,0,.6630215
47,Male,Argentina,0,1,Strongly agree,Strongly agree,6,6,1.5,7,1,.69357711
56,Female,Brazil,,0,Agree,Agree,8,5,1,0,0,.92392415
56,Female,Argentina,0,1,Strongly agree,Strongly agree,10,10,5,0,0,.84559596
30,Male,Brazil,,1,Disagree,Agree,0,1,2.25,10,1,.73761463
34,Female,Brazil,0,1,Strongly agree,Strongly agree,8,2,5,6,0,.78928208
64,Male,Chile,0,1,Agree,Agree,6,2,1.5,9,1,.70534146
55,Male,Argentina,0,1,Strongly agree,Agree,7,7,1,8,1,.95058018
35,Female,Chile,,1,Disagree,Strongly agree,7,4,3.5,3,0,.73367125
26,Female,Brazil,0,1,Strongly agree,Agree,7,6,2,2,0,.85280806
49,Male,Chile,0,1,Strongly agree,Strongly agree,10,1,2,8,1,.644701
